Feature,Importance
Operating_Profit_Margin,58
CFO_to_CL,39
Payables_Turnover,31
ROCE,28
NCF_to_TA,24
CFO_to_Debt,21
WC_to_TA,19
WC_Turnover,16
Inventory_Turnover,15
Total_Asset_Turnover,14
NCF_to_Debt,11
Cash_to_CL,10
EBITDA_Margin,9
Debt_to_Equity,7
Net_Debt_to_EBITDA,7
ROA,6
Debt_to_Assets,5
Cash_Conversion_Cycle,3
ROE,3
TA_to_Equity,3
LT_Debt_to_Assets,3
Receivables_Turnover,2
Current_Ratio,1
CFO_to_Net_Income,1
TL_to_TA,1
Net_Profit_Margin,0
Quick_Ratio,0
