Label,Distress,Grey,Safe,All
Healthy,11692,30024,11745,53461
Acct_Distress,4664,1766,705,7135
Cash_Distress,1617,3400,2016,7033
Full_Distress,3523,1408,695,5626
All,21496,36598,15161,73255
