From_t,Healthy,Acct_Distress,Cash_Distress,Full_Distress
Healthy,85.5076,3.702,8.6355,2.1549
Acct_Distress,29.3895,44.5053,5.2211,20.8842
Cash_Distress,69.4699,5.7271,19.6296,5.1735
Full_Distress,19.7419,29.8462,5.8759,44.536
