Feature,Importance
Operating_Profit_Margin,0.16136182662568987
EBITDA_Margin,0.09479449390687661
ROCE,0.09272236129533626
CFO_to_CL,0.0648468511212098
CFO_to_Debt,0.048908343978322256
Payables_Turnover,0.041583593733589275
ROA,0.0375007483192008
Net_Profit_Margin,0.034374969847391655
Net_Debt_to_EBITDA,0.031764641516446396
NCF_to_TA,0.028308514524391738
Total_Asset_Turnover,0.02780125118039896
CFO_to_Net_Income,0.027193544171784226
WC_to_TA,0.025722524801529735
Inventory_Turnover,0.025036292747962076
ROE,0.023214007105366467
LT_Debt_to_Assets,0.02237013238035731
WC_Turnover,0.02231681050588802
NCF_to_Debt,0.021224070484935638
Cash_to_CL,0.020743171837250694
TL_to_TA,0.019327363590091393
TA_to_Equity,0.019234847012467707
Cash_Conversion_Cycle,0.01889358067233846
Receivables_Turnover,0.018822354989415573
Debt_to_Assets,0.018695839192816838
Quick_Ratio,0.018227092271062305
Debt_to_Equity,0.018160987584078376
Current_Ratio,0.01684978460380145
