Feature,Importance
ROCE,0.3249397166296672
ROA,0.20623419975878307
Net_Profit_Margin,0.1334610404675891
Operating_Profit_Margin,0.09188737461793368
TL_to_TA,0.03735645595817591
Net_Debt_to_EBITDA,0.018684683850763086
EBITDA_Margin,0.017528251328634333
ROE,0.01624095463927903
TA_to_Equity,0.01453894098838316
Inventory_Turnover,0.011369282083606231
Debt_to_Equity,0.010296925655443438
Total_Asset_Turnover,0.01027699463219724
CFO_to_CL,0.009918575613409482
LT_Debt_to_Assets,0.009304719515402748
Debt_to_Assets,0.009251410638286032
WC_Turnover,0.00921458562835603
Receivables_Turnover,0.008477912021381751
Cash_Conversion_Cycle,0.008102392107655405
WC_to_TA,0.007966195164325446
CFO_to_Debt,0.006847360307116887
CFO_to_Net_Income,0.006461832586575552
Cash_to_CL,0.0063161876145153015
Payables_Turnover,0.006081913709679895
Current_Ratio,0.00531539978928279
Quick_Ratio,0.00515175003297841
NCF_to_TA,0.004577729442281979
NCF_to_Debt,0.004197215218296997
