Company Name,Year_t,from_label,to_label
A B C India Ltd.,2021,Healthy,Healthy
A B C India Ltd.,2022,Healthy,Healthy
A B Cotspin India Ltd.,2018,Healthy,Healthy
A B Cotspin India Ltd.,2019,Healthy,Healthy
A B Cotspin India Ltd.,2020,Healthy,Healthy
A B Cotspin India Ltd.,2021,Healthy,Cash_Distress
A B Cotspin India Ltd.,2022,Cash_Distress,Cash_Distress
A B Emultech Pvt. Ltd.,2018,Healthy,Cash_Distress
A B Emultech Pvt. Ltd.,2019,Cash_Distress,Healthy
A B Grain Spirits Pvt. Ltd.,2018,Healthy,Healthy
A B Grain Spirits Pvt. Ltd.,2019,Healthy,Healthy
A B Grain Spirits Pvt. Ltd.,2022,Healthy,Healthy
A B Hotels Ltd.,2018,Healthy,Healthy
A B Hotels Ltd.,2021,Healthy,Healthy
A B I-Showatech (India) Pvt. Ltd.,2018,Healthy,Healthy
A B I-Showatech (India) Pvt. Ltd.,2019,Healthy,Healthy
A B I-Showatech (India) Pvt. Ltd.,2020,Healthy,Healthy
A B I-Showatech (India) Pvt. Ltd.,2021,Healthy,Healthy
A B I-Showatech (India) Pvt. Ltd.,2022,Healthy,Healthy
A B Inbev G C C Services India Pvt. Ltd.,2020,Healthy,Healthy
A B Inbev G C C Services India Pvt. Ltd.,2021,Healthy,Healthy
A B Inbev G C C Services India Pvt. Ltd.,2022,Healthy,Healthy
A B Infrabuild Ltd.,2018,Healthy,Cash_Distress
A B Infrabuild Ltd.,2019,Cash_Distress,Cash_Distress
A B Infrabuild Ltd.,2020,Cash_Distress,Healthy
A B Infrabuild Ltd.,2021,Healthy,Healthy
A B Infrabuild Ltd.,2022,Healthy,Healthy
A B Jewels Pvt. Ltd.,2020,Cash_Distress,Healthy
A B Jewels Pvt. Ltd.,2021,Healthy,Healthy
A B Jewels Pvt. Ltd.,2022,Healthy,Healthy
A B M International Ltd.,2018,Full_Distress,Acct_Distress
A B M International Ltd.,2019,Acct_Distress,Healthy
A B M International Ltd.,2020,Healthy,Healthy
A B M International Ltd.,2021,Healthy,Full_Distress
A B M International Ltd.,2022,Full_Distress,Full_Distress
A B M Tele Mobiles India Pvt. Ltd.,2020,Acct_Distress,Full_Distress
A B M Tele Mobiles India Pvt. Ltd.,2021,Full_Distress,Acct_Distress
A B M Tele Mobiles India Pvt. Ltd.,2022,Acct_Distress,Cash_Distress
A B Mauri India Pvt. Ltd.,2018,Cash_Distress,Healthy
A B Mauri India Pvt. Ltd.,2019,Healthy,Cash_Distress
A B Mauri India Pvt. Ltd.,2020,Cash_Distress,Cash_Distress
A B Mauri India Pvt. Ltd.,2021,Cash_Distress,Cash_Distress
A B Mauri India Pvt. Ltd.,2022,Cash_Distress,Healthy
A B Motions Pvt. Ltd.,2022,Healthy,Healthy
A B N Impex Pvt. Ltd.,2018,Acct_Distress,Healthy
A B N Impex Pvt. Ltd.,2019,Healthy,Healthy
A B N Impex Pvt. Ltd.,2020,Healthy,Healthy
A B P Network Pvt. Ltd.,2018,Healthy,Healthy
A B P Network Pvt. Ltd.,2019,Healthy,Healthy
A B P Network Pvt. Ltd.,2020,Healthy,Healthy
A B P Network Pvt. Ltd.,2021,Healthy,Acct_Distress
A B P Pvt. Ltd.,2018,Cash_Distress,Healthy
A B P Pvt. Ltd.,2019,Healthy,Healthy
A B S Marine Services Ltd.,2018,Healthy,Healthy
A B S Marine Services Ltd.,2019,Healthy,Healthy
A B S Marine Services Ltd.,2020,Healthy,Healthy
A B S Marine Services Ltd.,2021,Healthy,Healthy
A B S Marine Services Ltd.,2022,Healthy,Healthy
A B T Foods Agrovet Ltd.,2018,Acct_Distress,Acct_Distress
A B T Foods Agrovet Ltd.,2019,Acct_Distress,Acct_Distress
A B T Foods Agrovet Ltd.,2020,Acct_Distress,Acct_Distress
A B T Foods Agrovet Ltd.,2021,Acct_Distress,Full_Distress
A B T Foods Agrovet Ltd.,2022,Full_Distress,Acct_Distress
A B T Foods Ltd.,2019,Acct_Distress,Full_Distress
A B T Foods Ltd.,2022,Healthy,Healthy
A B T Industries Ltd.,2018,Healthy,Acct_Distress
A B T Industries Ltd.,2019,Acct_Distress,Full_Distress
A B T Industries Ltd.,2020,Full_Distress,Healthy
A B T Industries Ltd.,2021,Healthy,Healthy
A B T Industries Ltd.,2022,Healthy,Healthy
A B T Ltd.,2018,Acct_Distress,Acct_Distress
A B T Ltd.,2019,Acct_Distress,Healthy
A B T Ltd.,2020,Healthy,Healthy
A B T Ltd.,2021,Healthy,Acct_Distress
A B T Ltd.,2022,Acct_Distress,Acct_Distress
A C B (India) Ltd.,2018,Healthy,Acct_Distress
A C B (India) Power Ltd.,2019,Acct_Distress,Full_Distress
A C B (India) Power Ltd.,2020,Full_Distress,Full_Distress
A C C India Pvt. Ltd.,2020,Healthy,Healthy
A C C India Pvt. Ltd.,2021,Healthy,Healthy
A C C India Pvt. Ltd.,2022,Healthy,Healthy
A C C Ltd.,2018,Healthy,Healthy
A C C Ltd.,2022,Cash_Distress,Healthy
A C C Mining Pvt. Ltd.,2018,Healthy,Healthy
A C C Mining Pvt. Ltd.,2019,Healthy,Healthy
A C C Mining Pvt. Ltd.,2020,Healthy,Healthy
A C C Mining Pvt. Ltd.,2021,Healthy,Healthy
A C C Mining Pvt. Ltd.,2022,Healthy,Healthy
A C E Designers Ltd.,2018,Healthy,Full_Distress
A C E Designers Ltd.,2019,Full_Distress,Acct_Distress
A C E Designers Ltd.,2020,Acct_Distress,Healthy
A C E Designers Ltd.,2021,Healthy,Healthy
A C E Designers Ltd.,2022,Healthy,Healthy
A C G Inspection Systems Pvt. Ltd.,2018,Healthy,Full_Distress
A C G Inspection Systems Pvt. Ltd.,2021,Healthy,Acct_Distress
A C G Inspection Systems Pvt. Ltd.,2022,Acct_Distress,Healthy
A C G Pam Pharma Technologies Pvt. Ltd.,2018,Cash_Distress,Acct_Distress
A C G Pam Pharma Technologies Pvt. Ltd.,2019,Acct_Distress,Healthy
A C G Pam Pharma Technologies Pvt. Ltd.,2020,Healthy,Healthy
A C G Pam Pharma Technologies Pvt. Ltd.,2021,Healthy,Full_Distress
